,index,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1477,6694,24.0,241.86889854166665,101.25702708333333,208.39361791666667,75.51903604166667,4.2508195833333335,33.475280625,88.11955333333333,965.56,167491.25,3206.36
1478,6695,24.0,242.008650625,101.25542,208.65744583333333,76.16265895833334,4.17131625,33.35120479166667,87.104745,959.84,152150.42,3291.77
1479,6696,24.0,242.14611,101.25537875,208.83018875,77.335565,4.092898125,33.31592125,85.26165729166667,963.72,151120.97,3297.43
1480,6697,24.0,242.11637229166666,101.256870625,208.873149375,77.21544979166667,4.225826875,33.24322291666667,87.318928125,954.5,149673.48,3210.3
1481,6698,24.0,242.21441541666667,101.25685104166666,208.97877520833333,77.44728145833334,4.230261458333334,33.235640208333336,87.96628291666667,951.88,149278.31,3233.54
1482,6699,24.0,242.466060625,101.24723125,209.12063145833332,77.305364375,4.13229,33.34542916666667,87.015440625,950.38,149287.12,3231.19
1483,6700,24.0,242.151354375,101.24347854166666,209.01303645833335,77.33097604166667,4.189295625,33.138317916666665,86.984460625,956.77,150295.2,3058.99
1484,6701,24.0,242.36085166666666,101.23030125,209.13650166666667,77.29731791666667,4.26421625,33.22435,88.007498125,959.48,151841.32,3088.43
1485,6702,24.0,242.36949666666666,101.22146395833333,209.14263416666665,77.17636833333333,4.270835625,33.2268625,88.20064604166667,960.51,150485.46,3131.02
1486,6703,24.0,242.342726875,101.2134275,209.2657625,77.235110625,4.12235625,33.076964375,86.010783125,960.39,150245.33,3086.98
1487,6704,24.0,242.39916104166667,101.20610520833333,209.2766575,77.21860583333333,4.150180416666666,33.12250354166667,86.96363354166667,956.42,149822.09,3514.4
1488,6705,24.0,242.46213416666666,101.19905520833333,209.34997416666667,77.11667270833334,4.127226666666667,33.11216,86.23787791666666,954.53,148848.16,3077.59
1489,6706,24.0,242.52164270833333,101.19170291666667,209.41051770833334,77.0403575,4.126351458333334,33.111125,85.859889375,956.26,149034.58,3069.1
1490,6707,24.0,242.31720833333333,101.18866479166667,209.37004291666668,80.31867291666667,3.957490208333333,32.947165416666664,87.21274979166667,956.87,150964.29,3069.77
1491,6708,24.0,242.05032895833332,101.186325,209.34839145833334,85.40971645833334,3.6957925,32.7019375,85.472148125,965.22,152504.4,3126.27
1492,6709,24.0,242.01413770833332,101.18149020833333,209.326304375,87.36335729166667,3.6972885416666665,32.68783333333333,88.47985458333333,972.83,150629.57,3133.93
1493,6710,24.0,241.87058458333334,101.17823666666666,209.25924895833333,89.36781416666666,3.6211379166666666,32.611335625,88.49522541666667,971.79,152749.56,3128.76
1494,6711,24.0,241.81613875,101.17277625,209.27902958333334,89.981959375,3.56539875,32.53710916666667,88.11126270833333,961.4,151088.07,3165.73
1495,6712,24.0,241.73979354166667,101.16820833333334,209.254109375,90.00188395833334,3.5082347916666667,32.485684166666665,87.460691875,962.89,149201.05,3151.75
1496,6713,24.0,241.77739979166665,101.159470625,209.31610604166667,90.100614375,3.47095875,32.46129375,87.07982583333333,963.19,148030.44,3149.62
1497,6714,24.0,241.76087520833335,101.15193729166667,209.31638895833333,91.274045,3.4467133333333333,32.44448625,87.38806458333333,960.92,147975.07,3146.83
1498,6715,24.0,241.55145270833333,101.15018229166667,209.24539895833334,96.719291875,3.339575625,32.30605375,88.155520625,962.06,149137.35,3287.06
1499,6716,24.0,241.61863229166667,101.14968645833333,209.34009583333332,98.98541875,3.308219375,32.278536458333335,88.20137083333333,1004.48,147593.53,3348.1
1500,6717,24.0,241.817263125,101.14560875,209.4993425,99.13053458333333,3.34840125,32.317920625,88.47365479166666,978.09,151361.31,3362.48
1501,6718,24.0,241.9677685106383,101.1404370212766,209.72052425531916,97.195935625,3.2841923404255318,32.247244255319146,88.03845,979.91,154020.95,3390.37
1502,6719,24.0,241.86774875,101.12967833333333,209.68847354166667,99.180644375,3.221225625,32.17927520833334,86.69609541666667,966.22,151560.48,3372.78
1503,6720,24.0,241.79464041666665,101.11716375,209.66556291666666,99.05895208333334,3.1809625,32.1290775,85.703431875,964.43,145350.06,3363.42
1504,6721,24.0,241.79520604166666,101.10897208333333,209.630589375,99.05158791666666,3.2186752083333334,32.16461666666667,87.08284166666667,961.13,148446.0,3344.21
1505,6722,24.0,241.92406106382978,101.10910106382978,209.79384276595744,96.98227104166666,3.188465319148936,32.13021829787234,86.02142319148936,952.07,151376.5,3347.27
1506,6723,24.0,242.1595740425532,101.10894425531914,210.03229914893618,96.97515791666666,3.171297659574468,32.12727489361702,84.9488570212766,953.14,151676.13,3375.27
1507,6724,24.0,242.32471276595746,101.0982755319149,210.12729425531916,96.96409895833334,3.237279574468085,32.1974185106383,86.61546958333334,958.71,154866.47,3382.98
1508,6725,24.0,242.20595520833334,101.0881825,210.06090041666667,99.02500645833334,3.1979352083333334,32.14505479166667,87.19108916666667,964.49,154609.84,3386.16
1509,6726,24.0,242.0912174468085,101.07895723404255,209.96571893617022,96.94551895833334,3.186232978723404,32.125498510638295,87.56119978723405,964.23,154694.23,3310.27
1510,6727,24.0,242.06625041666666,101.069783125,209.88246125,98.99266375,3.2320422916666667,32.183789166666664,87.672804375,967.26,153914.13,3359.58
1511,6728,24.0,242.397401875,101.06615708333334,210.15189416666666,99.00143,3.18693625,32.245507708333335,86.87046833333333,956.38,152840.46,3350.44
1512,6729,24.0,244.24428083333333,101.04135770833334,210.85251854166665,99.03283708333333,2.9061727083333335,33.391762291666666,86.378245625,912.6,146305.32,3283.43
1513,6730,24.0,242.73226875,101.060919375,210.37961,99.03917729166666,3.181098958333333,32.35265875,87.516874375,958.55,152534.45,3383.45
1514,6731,19.91667,248.2901518353771,100.99448450233899,212.55392600222325,72.03671666666666,5.861131265377194,35.73622583315384,85.81770673473527,710.96,121900.74,2611.77
1515,6732,24.0,244.19994,101.02205125,210.96864645833332,100.0,4.140735833333333,33.231293541666666,87.752388125,922.73,148240.49,3312.59
