,DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1986,2015-06-05,265.445408125,99.507850625,235.27881125,100.0,30.166596875,1.7433408333333333,209.93,30587.58,3275.37
1987,2015-06-06,265.492389375,99.50614083333333,235.30597854166666,100.0,30.186410833333333,1.723219375,209.42,30498.59,3276.71
1988,2015-06-07,268.38505537845356,99.4718220351962,236.12069378347059,74.92783458333334,32.264361594982965,3.486633706233206,158.34,23689.64,2934.01
1989,2015-06-08,265.59027208333333,99.49591520833333,235.18201833333333,98.83031270833334,30.40825375,1.8927814583333333,207.56,30190.15,3289.01
1990,2015-06-09,265.698513125,99.4896525,235.309043125,100.0,30.38947,1.8617070833333333,208.95,30361.39,3241.03
1991,2015-06-10,265.726731875,99.49756583333334,235.36661416666666,100.0,30.360117708333334,1.85427,207.44,30120.03,3171.39
1992,2015-06-11,265.7422022916667,99.49855229166667,235.386631875,100.0,30.355570416666666,1.7862520833333333,205.45,29899.7,3447.26
1993,2015-06-12,265.7695210416667,99.49357604166667,235.42898166666666,100.0,30.340539375,1.815075,205.93,30045.38,3176.58
1994,2015-06-13,265.64194729166667,99.48414208333334,235.27189791666666,100.0,30.370049375,1.8437597916666666,203.36,29321.7,3151.83
1995,2015-06-14,265.5883525,99.47814,235.26927083333334,100.0,30.319081666666666,1.80274125,199.6,29051.15,3311.59
1996,2015-06-15,265.56304958333334,99.47771229166666,235.23070854166667,100.0,30.332341041666666,1.8121320833333334,200.25,29019.82,3228.86
1997,2015-06-16,265.54081729166666,99.47084375,235.2489775,100.0,30.291839791666668,1.7846439583333333,198.29,28719.78,3276.15
1998,2015-06-17,265.50076708333336,99.46899,235.20898604166666,100.0,30.291781041666667,1.7654866666666666,197.29,28851.13,3293.2
1999,2015-06-18,265.88352125,99.462681875,235.26678041666668,100.0,30.616740833333335,1.7564058333333334,197.15,28681.12,3229.55
2000,2015-06-19,266.28888333333333,99.473035625,235.48916416666665,100.0,30.799719166666666,1.8123395833333333,194.1,28806.64,3147.1
2001,2015-06-20,266.15293770833335,99.49575,235.70426395833334,100.0,30.44867375,1.8904891666666668,199.56,29526.79,3243.68
2002,2015-06-21,266.45499916666665,99.51247625,236.02585729166665,100.0,30.429141875,1.8931,197.87,29476.07,3315.39
2003,2015-06-22,266.71746291666665,99.52412770833334,236.14455666666666,100.0,30.57290625,1.9837385416666666,202.06,29887.05,3358.87
2004,2015-06-23,267.00819416666667,99.53720541666667,236.36483625,100.0,30.643357916666666,2.049148333333333,199.63,29530.83,3402.25
2005,2015-06-24,267.25747020833336,99.54509375,236.55936791666667,100.0,30.698102291666668,2.092300625,200.27,29484.37,3439.04
2006,2015-06-25,267.51333895833335,99.552869375,236.73430458333334,100.0,30.779034375,2.15718875,199.69,29406.13,3512.97
2007,2015-06-26,267.744471875,99.56379145833333,237.0242175,100.0,30.720254375,2.1141539583333335,195.5,28608.42,3499.55
2008,2015-06-27,268.1131110416667,99.56868916666667,237.114960625,100.0,30.998150416666668,2.191530625,198.1,28936.49,3549.18
2009,2015-06-28,267.749030625,99.56565854166666,237.00155979166666,100.0,30.747470833333335,2.1361920833333334,209.52,30633.42,3638.32
2010,2015-06-29,267.86120645833336,99.55448104166666,236.82846458333333,100.0,31.032741875,2.151413125,209.13,30058.55,3490.05
2011,2015-06-30,267.50006041666666,99.55386729166666,236.78223520833333,100.0,30.717825208333334,2.0980077083333333,211.19,30111.44,3387.79
2012,2015-07-01,267.345855,99.55198770833333,236.76794645833334,100.0,30.577908541666666,2.0335508333333334,195.17,28873.6,3608.08
2013,2015-07-02,267.27718833333336,99.55559166666667,236.724061875,100.0,30.553126458333335,2.0080745833333333,238.65,35232.92,3357.76
2014,2015-07-03,267.1566183333333,99.54911458333333,236.477728125,100.0,30.678890208333332,2.0387970833333333,237.7,35008.01,3357.83
2015,2015-07-04,267.004523125,99.544034375,236.40501395833334,100.0,30.599509166666667,2.011541875,233.92,34378.92,3309.16
2016,2015-07-05,266.963325,99.53994,236.41798,100.0,30.545345,1.9595847916666667,232.49,34232.01,3209.77
2017,2015-07-06,266.95249083333334,99.53994,236.36482,100.0,30.587670833333334,1.9885264583333333,230.42,33895.51,3210.42
